labsampnum,result_source_key,prep_code,pedon_key,site_key,pedlabsampnum,project_key,layer_field_label_1,hzn_top,hzn_bot,InRangeTop_0_100,InRangeBot_0_100,hzn_desgn,pedoniid,upedonid,soil_name,class_type,classification_name,siteiid,usiteid,site_obsdate,latitude_decimal_degrees,longitude_decimal_degrees,country_code,country_name,state_code,state_name,county_code,county_name,mlra_code,mlra_name,ssa_code,ssa_name,note,pedobjupdate,lab_texture,ca_nh4_ph_7,ca_nh4_ph_7_method,mg_nh4_ph_7,mg_nh4_ph_7_method,k_nh4_ph_7,k_nh4_ph_7_method,total_carbon_ncs,total_carbon_ncs_method,total_nitrogen_ncs,total_nitrogen_ncs_method,organic_carbon_walkley_black,oc_walkley_black_method,ph_cacl2,ph_cacl2_method,ph_h2o,ph_h2o_method,phosphorus_bray1,phosphorus_bray1_method,phosphorus_bray2,phosphorus_bray2_method,phosphorus_mehlich_3,phosphorus_mehlich_3_method,base_sat_nh4oac_ph_7,estimated_organic_carbon,carbon_to_nitrogen_ratio,texture_lab,particle_size_method,clay_total,silt_total,sand_total,total_frag_wt_pct_gt_2_mm_ws,bulk_density_oven_dry,bulk_density_oven_dry_method
12N03289,15929128,S,71919,132604,12N8075,5865,S2012GA075001-2,15,38,15,38,Bt1,871712,S2012GA075001,Cowarts,series,"Fine-loamy, kaolinitic, thermic Typic Kanhapludults",886996,S2012GA075001,,31.2542361,-83.385125,US,United States,GA,Georgia,GA075,Cook,133A,Southern Coastal Plain,GA627,"Colquitt and Cook Counties, Georgia",NASIS updated 5/4/2020 7:56:53 AM,8/17/2018 18:20,fsl,1.52,4B1a1a,0.45,4B1a1a,0.21,4B1a1a,0.5,4H2a,0.037,4H2a,,,5.2,4C1a2a,5.9,4C1a2a,,,,,,,65,0.5,14,fsl,3A1a1a,16.7,8.6,74.7,17,,
81P01385,57961,S,8376,8376,81P0265,562,,0,13,0,13,A,956557,81LA019001,Caddo,series,"Fine-silty, siliceous, thermic Typic Glossaqualf",974851,81LA019001,6/1/1981 0:00,30.5291667,-93.2236111,US,United States,LA,Louisiana,LA019,Calcasieu,152B,Western Gulf Coast Flatwoods,LA019,"Calcasieu Parish, Louisiana",NASIS updated 5/4/2020 8:13:17 AM,6/12/2014 16:16,sil,0.51,6N2e,0.31,6O2d,0.02,6Q2b,,,,,0.91,6A1c,4.7,4C1a2a,4.8,4C1a2a,,,,,,,21,,,sil,3A1a1a,5.3,63.2,31.5,0,,
MU059574,15792337,S,47273,46559,M9761373,5429,,0,13,0,13,A,1367425,1997MO203073M,Clarksville,series,"Loamy-skeletal, siliceous, semiactive, mesic Typic Paleudults",97249,1997MO203073M,8/5/1997 0:00,37.3692222,-91.3928222,US,United States,MO,Missouri,MO203,Shannon,116A,Ozark Highland,MO203,"Shannon County, Missouri",NASIS updated 5/4/2020 8:41:49 AM,10/18/2019 14:35,cosl,5.5,4B1a1,1.1,4B1a1,0.3,4B1a1,,,,,6.7,6A2d,4.3,8C1e,4.7,8C1a,,,,,,,34,,,cosl,3A1a1a,6.7,47,46.3,,,
MU055890,15797609,S,48019,47305,M9611988,5429,,13,38,13,38,E,94593,1996MO119126,Noark,series,"Clayey-skeletal, mixed, semiactive, mesic Typic Paleudults",94653,1996MO119126,12/10/1996 0:00,36.5100056,-94.5871972,US,United States,MO,Missouri,MO119,McDonald,116B,Springfield Plain,MO119,"McDonald County, Missouri",NASIS updated 5/4/2020 8:41:04 AM,7/25/2019 13:05,sil,0.5,4B1a1,0.4,4B1a1,0.1,4B1a1,,,,,0.3,6A2d,4.2,8C1e,4.9,8C1a,,,,,,,23,,,sil,3A1a1a,8.5,77.9,13.6,,,
FL0400803,15819632,S,51460,50734,S04_008,5460,,20,33,20,33,Bh1,517146,1986-FL007-S04_008,Leon,,"Aeric Alaquods, sandy, siliceous, thermic",528440,S1986-FL007-S04_008,4/15/2011 0:00,29.8828144,-82.2764435,US,United States,FL,Florida,FL007,Bradford,153A,Atlantic Coast Flatwoods,FL007,"Bradford County, Florida",NASIS updated 5/4/2020 8:44:31 AM,4/24/2016 14:26,S,0.02,6N2,0.07,6O2,0.02,6Q2,,,,,2.96,6A1a,3.9,8C1e,4.2,8C1a,,,,,,,,,,S,3A1a1a,4.4,4.2,,,,
81P04600,61175,S,8883,8883,81P0772,659,,65,82,65,82,Bw,120697,81GA287002,Fuquay,series,"Loamy, siliceous, subactive, thermic Arenic Plinthic Paleudults",118953,S1981GA287002,7/1/1981 0:00,31.7418575,-83.7818451,US,United States,GA,Georgia,GA287,Turner,133A,Southern Coastal Plain,,,NASIS updated 5/4/2020 8:13:45 AM,4/23/2016 6:08,ls,0.34,6N2e,0.16,6O2d,0.05,6Q2b,,,0.007,6B3a,0.14,6A1c,4.9,4C1a2a,5.3,4C1a2a,,,,,,,63,,21,ls,3A1a1a,7.6,7,85.4,10,1.73,4A1h
86P05637,87283,S,13607,13607,86P0935,1489,,66,96,66,96,Btg3,123755,86NC099002,Hemphill,series,"Fine, mixed, active, mesic Mollic Endoaqualfs",122011,S1986NC099002,9/1/1986 0:00,35.4249992,-83.2030563,US,United States,NC,North Carolina,NC099,Jackson,130,Blue Ridge,NC099,"Jackson County, North Carolina",NASIS updated 5/4/2020 8:19:14 AM,1/16/2019 21:20,cl,4.62,6N2e,2.49,6O2d,0,6Q2b,,,0.061,6B3a,0.44,6A1c,4.9,4C1a2a,5.5,4C1a2a,,,,,,,55,,7,cl,3A1a1a,35.9,43.2,20.9,0,1.47,4A1h
87P03772,91429,S,14376,14376,87P0703,1650,,59,84,59,84,B/E1,957878,87LA073001,Ruston,taxadjunct,"Coarse-loamy, siliceous, semiactive, thermic Typic Paleudalf",976172,87LA073001,6/1/1987 0:00,32.4163889,-92.3677778,US,United States,LA,Louisiana,LA073,Ouachita,133B,Western Coastal Plain,LA073,"Ouachita Parish, Louisiana",NASIS updated 5/4/2020 8:20:01 AM,6/12/2014 16:16,fsl,3.09,6N2e,0.5,6O2d,0.07,6Q2b,,,0.016,6B3a,0.14,6A1c,4.9,4C1a2a,5.7,4C1a2a,,,,,,,84,,9,fsl,3A1a1a,13.7,21.5,64.8,0,1.77,4A1h
92P00648,117866,S,18713,18713,92P0090,2388,,0,8,0,8,A1,127823,91NC021010,Craggey,series,"Loamy, isotic, frigid Lithic Haplumbrepts",126079,S1991NC021010,10/1/1991 0:00,35.7123184,-82.3670731,US,United States,NC,North Carolina,NC021,Buncombe,130,Blue Ridge,NC021,"Buncombe County, North Carolina",NASIS updated 5/4/2020 8:24:30 AM,1/16/2019 19:32,sl,0,6N2e,0.25,6O2d,0.32,6Q2b,,,0.552,6B3a,10.17,6A1c,4,4C1a2a,4.6,4C1a2a,,,,,,,1,,,sl,3A1a1a,10.5,19.6,69.9,25,0.79,4A1h
40A38227,36148,S,4802,4802,40A5061,1,53912,13,30,13,30,E,100577,S1953FL033020,DOTHAN,series,,100594,S1953FL033020,5/26/1953 0:00,30.6774445,-87.3122253,US,United States,FL,Florida,FL033,Escambia,,,FL033,"Escambia County, Florida",NASIS updated 5/4/2020 8:05:50 AM,4/23/2016 6:15,fsl,0.7,6N2d,0,6O2b,0.02,6Q2a,,,,,0.25,6A1a,,,4.8,8C1a,,,,,,,,,,fsl,3A1a1a,13.2,24.3,62.5,0,,
01P02103,167172,S,26298,26298,01P0343,3701,,56,104,56,100,Bt2,960591,99VA083002,Cecil,series,"Fine, mixed, semiactive, thermic Aquic Hapludult",978885,99VA083002,6/1/2001 0:00,,,US,United States,VA,Virginia,VA083,Halifax,,,,,NASIS updated 5/4/2020 7:39:05 AM,4/19/2016 23:19,,,,,,,,0.09,6A2e,0.021,6B4a,,,4.1,4C1a2a,4.7,4C1a2a,,,,,,,,0.1,,,,,,,,,
MU019377,15767409,S,43500,42786,M9901752,5397,,0,28,0,28,A,96697,1999MO017073,Forestdale,taxadjunct,"Fine, smectitic, active, thermic Typic Endoaqualfs",96607,1999MO017073,9/30/1999 0:00,37.1676636,-89.9048004,US,United States,MO,Missouri,MO017,Bollinger,131,Southern Mississippi Valley Alluvium,MO017,"Bollinger County, Missouri",NASIS updated 5/4/2020 8:42:24 AM,12/18/2012 21:46,SIC,11.5,6N2,5.3,6O2,0.5,6Q2,,,,,1.4,6A2d,5.3,8C1e,5.6,8C1a,,,,,,,75,,,SIC,3A1a1a,42.9,52,5.1,,,
MU058247,15770853,S,43994,43280,M9712528,5429,,8,20,8,20,Bw,91558,1997MO125028,Moko,series,"Loamy-skeletal, mixed, superactive, mesic Lithic Hapludolls",91618,1997MO125028,9/15/1997 0:00,38.1514695,-91.8011591,US,United States,MO,Missouri,MO125,Maries,116B,Springfield Plain,,,NASIS updated 5/4/2020 8:41:32 AM,7/25/2019 13:05,sil,20.7,4B1a1,12,4B1a1,0.4,4B1a1,,,,,2.7,6A2d,7.3,8C1e,7.7,8C1a,,,,,,,100,,,sil,3A1a1a,13.3,59.1,27.6,,,
FL6500101,15819573,S,51449,50723,S65_001,5460,,0,15,0,15,Ap,518276,1985-FL129-S65_001,Rutlege,,"Typic Humaquepts, sandy, siliceous, thermic",529570,S1985FL129001,4/15/2011 0:00,30.1967525,-84.1595764,US,United States,FL,Florida,FL129,Wakulla,152A,Eastern Gulf Coast Flatwoods,FL129,"Wakulla County, Florida",NASIS updated 5/4/2020 8:46:13 AM,4/23/2016 6:15,FS,0.09,6N2,0.04,6O2,0.01,6Q2,,,,,0.52,6A1a,4.1,8C1e,5,8C1a,,,,,,,,,,FS,3A1a1a,2.4,3.7,,,,
MU051768,15795705,S,47732,47018,M9461323,5429,,8,15,8,15,Bt1,1361441,1994MO203023M,Arkana,taxadjunct,"Fine, mixed, active, mesic Typic Hapludalfs",95499,1994MO203023M,9/26/1994 0:00,37.2307167,-91.3565528,US,United States,MO,Missouri,MO203,Shannon,116A,Ozark Highland,MO203,"Shannon County, Missouri",NASIS updated 5/4/2020 8:40:12 AM,12/12/2019 14:30,cl,5.2,4B1a1,3.5,4B1a1,0.1,4B1a1,,,,,0.8,6A2d,4.7,8C1e,5.3,8C1a,,,,,,,67,,,cl,3A1a1a,30.6,44.1,25.3,,,
FL3301004,15817846,S,51179,50453,S33_010,5460,,76,107,76,100,Bw3,517689,1981-FL065-S33_010,Foxworth,,"Typic Quartzipsamments, thermic, coated .",528942,S1981-FL065-S33_010,4/15/2011 0:00,30.3992023,-84.0733109,US,United States,FL,Florida,FL065,Jefferson,133A,Southern Coastal Plain,FL065,"Jefferson County, Florida",NASIS updated 5/4/2020 8:45:36 AM,4/23/2016 6:15,FS,0.03,6N2,0.02,6O2,0,6Q2,,,,,0.17,6A1a,5,8C1e,5.5,8C1a,,,,,,,,,,FS,3A1a1a,0.8,4,,,,
18N02042,15950341,S,75691,136287,18N0276,6278,S2017MS071100-2,10,45,10,45,E,,S2017MS071100,Toinette,series,"Loamy, siliceous, subactive, thermic Arenic Hapludult",,S2017MS071100,,34.43065262,-89.39588928,US,United States,MS,Mississippi,MS071,Lafayette,133A,Southern Coastal Plain,,,NCSS dated Feb 21 2021  3:00AM,,ls,0.17,4B1a1a,0,4B1a1a,0.06,4B1a1a,0.22,4H2a,0.05,4H2a,,,4.2,4C1a2a,4.8,4C1a2a,,,,,,,,0.2,4,ls,3A1a1a,3.9,11.8,84.3,0,,
FL3700103,15814893,S,50751,50025,S37_001,5460,,58,104,58,100,Bw2,517758,1975-FL073-S37_001,Lakeland,,"TYPIC QUARTZIPSAMMENTS , THERMIC,  COATED",529011,S1975-FL073-S37_001,4/15/2011 0:00,30.3872108,-84.4101944,US,United States,FL,Florida,FL073,Leon,133A,Southern Coastal Plain,FL073,"Leon County, Florida",NASIS updated 5/4/2020 8:45:40 AM,4/23/2016 6:15,S,0.03,6N2,0.04,6O2,0,6Q2,,,,,0.09,6A1a,5,8C1e,5.4,8C1a,,,,,,,,,,S,3A1a1a,3.5,1,,,,
17N00665,15941768,S,74026,134671,17N0113,6072,S2016AL003002-5,54,66,54,66,Bhs,1291507,S2016AL003002,Leon,series,"Sandy, siliceous, thermic Aeric Alaquods",1218487,S2016AL003002,,30.2509722,-87.7399722,US,United States,AL,Alabama,AL003,Baldwin,152A,Eastern Gulf Coast Flatwoods,AL003,"Baldwin County, Alabama",NASIS updated 5/4/2020 7:59:23 AM,12/21/2018 15:09,s,0,4B1a1a,0,4B1a1a,0.07,4B1a1a,0.11,4H2a,0.01,4H2a,,,4.3,4C1a2a,4.8,4C1a2a,,,,,,,,0.1,11,s,3A1a1a,0.1,1,98.9,0,,
MU020768,15768799,S,43699,42985,M9861331,5397,,13,28,13,28,AB,1367481,1998MO203031M,Portia,series,"Fine-loamy, siliceous, semiactive, mesic Typic Paleudalfs",97316,1998MO203031M,3/26/1998 0:00,37.1092028,-91.3175083,US,United States,MO,Missouri,MO203,Shannon,116A,Ozark Highland,MO203,"Shannon County, Missouri",NASIS updated 5/4/2020 8:42:17 AM,10/18/2019 14:35,SIL,2.9,6N2,0.8,6O2,0.4,6Q2,,,,,0.5,6A2d,4.5,8C1e,5.6,8C1a,,,,,,,47,,,SIL,3A1a1a,23.8,61.1,15.1,,,
96P01013,144168,N,22576,22576,96P0113,3019,,5,18,5,18,Bw1,235262,S1995IL003001,Clarksville,,"Loamy-skeletal, siliceous, mesic Typic Paleudults",236900,S1995IL003001,6/12/1995 0:00,37.2658348,-89.2777786,US,United States,IL,Illinois,IL003,Alexander,115B,"Central Mississippi Valley Wooded Slopes, Western Part",,,NASIS updated 5/4/2020 8:28:27 AM,4/22/2016 20:34,si,0.17,6N2e,0.01,6O2d,0.15,6Q2b,0.92,6A2e,,,0.93,6A1c,4.3,4C1a2a,4.7,4C1a2a,,,,,,,7,,,si,3A1a1a,10,82,8,,,
MU041570,15811132,S,50086,49372,M9110545,5429,,36,58,36,58,Bt1,39106,1991MO105206,Clarksville,series,"Loamy-skeletal, siliceous, semiactive, mesic Typic Paleudults",39163,1991MO105206,7/29/1991 0:00,37.4825,-92.3030556,US,United States,MO,Missouri,MO105,Laclede,116A,Ozark Highland,MO105,"Laclede County, Missouri",NASIS updated 5/4/2020 8:38:16 AM,7/25/2019 13:05,sil,1.2,4B1a1,0.8,4B1a1,0.1,4B1a1,,,,,0.4,6A2d,4.3,8C1e,5,8C1a,,,,,,,28,,,sil,3A1a1a,23.6,66.1,10.3,,,
14N01523,15921995,S,70516,68543,14N0296,5814,S2013MS153001-3,28,99,28,99,Bt1,916838,S2013MS153001,Smithdale,series,"Fine-loamy, siliceous, subactive, thermic Typic Hapludults",847235,2013MS153001,6/28/2013 0:00,31.77375,-88.6315833,US,United States,MS,Mississippi,MS153,Wayne,133A,Southern Coastal Plain,MS153,"Wayne County, Mississippi",NASIS updated 5/4/2020 7:58:17 AM,4/25/2016 1:23,sc,0,4B1a1a,0.88,4B1a1a,0.09,4B1a1a,0.22,4H2a,0.07,4H2a,,,4.1,4C1a2a,5.2,4C1a2a,,,,,0,4D6a1,13,0.2,3,sc,3A1a1a,40.4,11.5,48.1,0,,
UAR0001507,15859383,S,57986,57185,60ID28,5568,60ID28,3,13,3,13,A1,878537,1960AR063028,Clarksville,series,"Loamy-skeletal, siliceous, semiactive, mesic Typic Paleudults",831209,1960AR063028,11/27/2012 0:00,35.8267,-91.7746,US,United States,AR,Arkansas,AR063,Independence,116A,Ozark Highland,AR063,"Independence County, Arkansas",NASIS updated 5/4/2020 8:06:58 AM,7/25/2019 13:05,sil,1,6N2,0.42,6O2f,0.19,6Q2a,,,,,3,6A1a,,,5.2,8C1a,32.1,6S3,,,,,,,,sil,hyd1,11.5,73.2,15.3,,,
98P00330,150005,S,23493,23493,98P0046,3178,,0,28,0,28,Ap,109011,97VA033005,WICKHAM,series,,108997,S1997VA033005,10/7/1997 0:00,,,US,United States,VA,Virginia,VA033,Caroline,133A,Southern Coastal Plain,VA033,"Caroline County, Virginia",NASIS updated 5/4/2020 8:29:27 AM,4/24/2016 14:12,l,3.91,6N2e,1.15,6O2d,0.25,6Q2b,0.65,6A2e,,,,,5.6,4C1a2a,6.1,4C1a2a,20,6S3b,,,,,88,0.6,,l,3A1a1a,15.3,38.4,46.3,0,,
00P05344,162858,S,25542,25542,00P0865,3568,,46,70,46,70,E2,108596,S2000NC101001,Wagram,series,"Fine, kaolinitic, thermic Arenic Kandiudult",108582,S2000NC101001,5/4/2000 0:00,,,US,United States,NC,North Carolina,NC101,Johnston,,,NC101,"Johnston County, North Carolina",NASIS updated 5/4/2020 7:36:58 AM,4/24/2016 14:12,ls,0.1,6N2i,0.05,6O2h,0.02,6Q2f,0.12,6A2e,0.012,6B4a,,,4.3,4C1a2a,5,4C1a2a,4,6S3e,,,,,25,0.1,,ls,3A1a1a,3.8,15.5,80.7,2,1.69,4A1h
99P00372,153581,S,24107,24107,99P0072,3287,,57,95,57,95,Bt,1305993,1997NC075002C,Trimont,series,"Fine-loamy, mixed Humic Hapludults",109412,S1997NC075002,10/7/1997 0:00,35.3602791,-83.8358307,US,United States,NC,North Carolina,NC075,Graham,130,Blue Ridge,NC075,"Graham County, North Carolina",NASIS updated 5/4/2020 8:30:05 AM,6/6/2019 22:40,scl,0.52,4B1a1a,1.38,4B1a1a,0.69,4B1a1a,0.21,6A2e,,,,,4.2,4C1a2a,5.6,4C1a2a,,,,,,,32,0.2,,scl,3A1a1a,30.9,16.3,52.8,1,1.4,4A1h
83P03768,70180,S,10616,10616,83P0762,942,,0,18,0,18,Ap,121541,83GA163010,Orangeburg,series,"Fine-loamy, siliceous, thermic Typic Kandiudults",119797,S1983GA163010,7/1/1983 0:00,33.2249985,-82.3083344,US,United States,GA,Georgia,GA163,Jefferson,133A,Southern Coastal Plain,,,NASIS updated 5/4/2020 8:15:48 AM,4/23/2016 6:08,ls,1.17,6N2e,0.44,6O2d,0.02,6Q2b,,,0.028,6B3a,0.48,6A1c,5.6,4C1a2a,6.2,4C1a2a,,,,,,,80,,17,ls,3A1a1a,2.8,10.8,86.4,0,,
VPI02943,15857912,S,57701,56900,VPI0294,5566,,69,104,69,100,Bt2,363529,V1984-VA081-294,Wickham,,"Fine-loamy, mixed, semiactive, thermic Typic Hapludults",363892,VPI-Wickh-3,9/26/2009 0:00,36.5477486,-77.3291779,US,United States,VA,Virginia,VA081,Greensville,133A,Southern Coastal Plain,VA081,"Greensville County, Virginia",NASIS updated 5/4/2020 8:50:57 AM,4/18/2014 18:09,scl,2.68,6N2a,0.81,6O2a,0.33,6Q2b,,,,,0.05,6A1a,,,5.3,8C1a,,,,,,,,,,scl,hyd1,22.6,13.4,64,,,
80P01352,54965,S,7835,7835,80P0248,447,,51,61,51,61,Oa3,1191493,S1979NC095001,Ponzer,series,"Loamy, mixed, dysic, thermic Terric Medisaprists",118506,S1979NC095001,3/1/1979 0:00,35.6023102,-76.4727249,US,United States,NC,North Carolina,NC095,Hyde,153B,Tidewater Area,NC095,"Hyde County, North Carolina",NASIS updated 5/4/2020 8:12:36 AM,8/9/2016 12:16,sil,0.44,6N2e,0.42,6O2d,0.14,6Q2b,,,0.321,6B1b,11.53,6A1c,3.4,8C1e,3.7,8C1a,,,,,,,2,,36,sil,3A1a1a,7.9,51,41.1,0,,
05N04322,201772,S,33235,33089,05N0819,4799,S05SC-061-086-1,90,125,90,100,Btv,1094725,S2005SC061086,Dothan,series,"Fine-loamy, kaolinitic, thermic Plinthic Kandiudults",215891,S2005SC061086,8/10/2005 0:00,34.2667917,-80.3997944,US,United States,SC,South Carolina,SC061,Lee,137,Carolina and Georgia Sand Hills,SC061,"Lee County, South Carolina",NASIS updated 5/4/2020 7:43:11 AM,4/20/2016 13:20,sc,1.33,4B1a1a,0.44,4B1a1a,0.07,4B1a1a,0.09,4H2a,0.027,4H2a,,,5.4,4C1a2a,5.7,4C1a2a,,,,,,,38,0.1,3,sc,3A1a1a,37.5,11.1,51.4,3,,
09N03032,15744636,S,40010,39391,09N0861,5302,S09SC083-018-1,0,8,0,8,A1,341569,S2009SC083018,Cecil,series,"Fine, kaolinitic, thermic Typic Kanhapludults",346683,S2009SC083018,4/27/2005 0:00,34.9266663,-82.0583344,US,United States,SC,South Carolina,SC083,Spartanburg,136,Southern Piedmont,SC083,"Spartanburg County, South Carolina",NASIS updated 5/4/2020 7:48:51 AM,8/14/2013 19:15,sl,2.29,4B1a1a,0.7,4B1a1a,0.42,4B1a1a,2.58,4H2a,0.215,4H2a,,,4.3,4C1a2a,4.6,4C1a2a,,,,,,,51,2.6,12,sl,3A1a1a,14.7,23.7,61.6,2,,
